PROTEIN
71
3 19 1 9 1 9 14 9 1 12 3 2 2 3 5 19 10 3 8 2 1 20 7 24 11 10 7 1 1 1 22 6 4 23 9 15 3 5 2 1 8 3 3 5 6 1 17 1 1 14 1 4 3 22 3 6 1 20 5 8 27 7 1 11 10 3 1 11 1 1 1
2556
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
1 17
1 18
1 19
1 20
1 21
1 22
1 23
1 24
1 25
1 26
1 27
1 28
1 29
1 30
1 31
1 32
1 33
1 34
1 35
1 36
1 37
1 38
1 39
1 40
1 41
1 42
1 43
1 44
1 45
1 46
1 47
1 48
1 49
1 50
1 51
1 52
1 53
1 54
1 55
1 56
1 57
1 58
1 59
1 60
1 61
1 62
1 63
1 64
1 65
1 66
1 67
1 68
1 69
1 70
2 0 1
2 0 2
2 0 3
2 0 4
2 0 5
2 0 6
2 0 7
2 0 8
2 0 9
2 0 10
2 0 11
2 0 12
2 0 13
2 0 14
2 0 15
2 0 16
2 0 17
2 0 18
2 0 19
2 0 20
2 0 21
2 0 22
2 0 23
2 0 24
2 0 25
2 0 26
2 0 27
2 0 28
2 0 29
2 0 30
2 0 31
2 0 32
2 0 33
2 0 34
2 0 35
2 0 36
2 0 37
2 0 38
2 0 39
2 0 40
2 0 41
2 0 42
2 0 43
2 0 44
2 0 45
2 0 46
2 0 47
2 0 48
2 0 49
2 0 50
2 0 51
2 0 52
2 0 53
2 0 54
2 0 55
2 0 56
2 0 57
2 0 58
2 0 59
2 0 60
2 0 61
2 0 62
2 0 63
2 0 64
2 0 65
2 0 66
2 0 67
2 0 68
2 0 69
2 0 70
2 1 2
2 1 3
2 1 4
2 1 5
2 1 6
2 1 7
2 1 8
2 1 9
2 1 10
2 1 11
2 1 12
2 1 13
2 1 14
2 1 15
2 1 16
2 1 17
2 1 18
2 1 19
2 1 20
2 1 21
2 1 22
2 1 23
2 1 24
2 1 25
2 1 26
2 1 27
2 1 28
2 1 29
2 1 30
2 1 31
2 1 32
2 1 33
2 1 34
2 1 35
2 1 36
2 1 37
2 1 38
2 1 39
2 1 40
2 1 41
2 1 42
2 1 43
2 1 44
2 1 45
2 1 46
2 1 47
2 1 48
2 1 49
2 1 50
2 1 51
2 1 52
2 1 53
2 1 54
2 1 55
2 1 56
2 1 57
2 1 58
2 1 59
2 1 60
2 1 61
2 1 62
2 1 63
2 1 64
2 1 65
2 1 66
2 1 67
2 1 68
2 1 69
2 1 70
2 2 3
2 2 4
2 2 5
2 2 6
2 2 7
2 2 8
2 2 9
2 2 10
2 2 11
2 2 12
2 2 13
2 2 14
2 2 15
2 2 16
2 2 17
2 2 18
2 2 19
2 2 20
2 2 21
2 2 22
2 2 23
2 2 24
2 2 25
2 2 26
2 2 27
2 2 28
2 2 29
2 2 30
2 2 31
2 2 32
2 2 33
2 2 34
2 2 35
2 2 36
2 2 37
2 2 38
2 2 39
2 2 40
2 2 41
2 2 42
2 2 43
2 2 44
2 2 45
2 2 46
2 2 47
2 2 48
2 2 49
2 2 50
2 2 51
2 2 52
2 2 53
2 2 54
2 2 55
2 2 56
2 2 57
2 2 58
2 2 59
2 2 60
2 2 61
2 2 62
2 2 63
2 2 64
2 2 65
2 2 66
2 2 67
2 2 68
2 2 69
2 2 70
2 3 4
2 3 5
2 3 6
2 3 7
2 3 8
2 3 9
2 3 10
2 3 11
2 3 12
2 3 13
2 3 14
2 3 15
2 3 16
2 3 17
2 3 18
2 3 19
2 3 20
2 3 21
2 3 22
2 3 23
2 3 24
2 3 25
2 3 26
2 3 27
2 3 28
2 3 29
2 3 30
2 3 31
2 3 32
2 3 33
2 3 34
2 3 35
2 3 36
2 3 37
2 3 38
2 3 39
2 3 40
2 3 41
2 3 42
2 3 43
2 3 44
2 3 45
2 3 46
2 3 47
2 3 48
2 3 49
2 3 50
2 3 51
2 3 52
2 3 53
2 3 54
2 3 55
2 3 56
2 3 57
2 3 58
2 3 59
2 3 60
2 3 61
2 3 62
2 3 63
2 3 64
2 3 65
2 3 66
2 3 67
2 3 68
2 3 69
2 3 70
2 4 5
2 4 6
2 4 7
2 4 8
2 4 9
2 4 10
2 4 11
2 4 12
2 4 13
2 4 14
2 4 15
2 4 16
2 4 17
2 4 18
2 4 19
2 4 20
2 4 21
2 4 22
2 4 23
2 4 24
2 4 25
2 4 26
2 4 27
2 4 28
2 4 29
2 4 30
2 4 31
2 4 32
2 4 33
2 4 34
2 4 35
2 4 36
2 4 37
2 4 38
2 4 39
2 4 40
2 4 41
2 4 42
2 4 43
2 4 44
2 4 45
2 4 46
2 4 47
2 4 48
2 4 49
2 4 50
2 4 51
2 4 52
2 4 53
2 4 54
2 4 55
2 4 56
2 4 57
2 4 58
2 4 59
2 4 60
2 4 61
2 4 62
2 4 63
2 4 64
2 4 65
2 4 66
2 4 67
2 4 68
2 4 69
2 4 70
2 5 6
2 5 7
2 5 8
2 5 9
2 5 10
2 5 11
2 5 12
2 5 13
2 5 14
2 5 15
2 5 16
2 5 17
2 5 18
2 5 19
2 5 20
2 5 21
2 5 22
2 5 23
2 5 24
2 5 25
2 5 26
2 5 27
2 5 28
2 5 29
2 5 30
2 5 31
2 5 32
2 5 33
2 5 34
2 5 35
2 5 36
2 5 37
2 5 38
2 5 39
2 5 40
2 5 41
2 5 42
2 5 43
2 5 44
2 5 45
2 5 46
2 5 47
2 5 48
2 5 49
2 5 50
2 5 51
2 5 52
2 5 53
2 5 54
2 5 55
2 5 56
2 5 57
2 5 58
2 5 59
2 5 60
2 5 61
2 5 62
2 5 63
2 5 64
2 5 65
2 5 66
2 5 67
2 5 68
2 5 69
2 5 70
2 6 7
2 6 8
2 6 9
2 6 10
2 6 11
2 6 12
2 6 13
2 6 14
2 6 15
2 6 16
2 6 17
2 6 18
2 6 19
2 6 20
2 6 21
2 6 22
2 6 23
2 6 24
2 6 25
2 6 26
2 6 27
2 6 28
2 6 29
2 6 30
2 6 31
2 6 32
2 6 33
2 6 34
2 6 35
2 6 36
2 6 37
2 6 38
2 6 39
2 6 40
2 6 41
2 6 42
2 6 43
2 6 44
2 6 45
2 6 46
2 6 47
2 6 48
2 6 49
2 6 50
2 6 51
2 6 52
2 6 53
2 6 54
2 6 55
2 6 56
2 6 57
2 6 58
2 6 59
2 6 60
2 6 61
2 6 62
2 6 63
2 6 64
2 6 65
2 6 66
2 6 67
2 6 68
2 6 69
2 6 70
2 7 8
2 7 9
2 7 10
2 7 11
2 7 12
2 7 13
2 7 14
2 7 15
2 7 16
2 7 17
2 7 18
2 7 19
2 7 20
2 7 21
2 7 22
2 7 23
2 7 24
2 7 25
2 7 26
2 7 27
2 7 28
2 7 29
2 7 30
2 7 31
2 7 32
2 7 33
2 7 34
2 7 35
2 7 36
2 7 37
2 7 38
2 7 39
2 7 40
2 7 41
2 7 42
2 7 43
2 7 44
2 7 45
2 7 46
2 7 47
2 7 48
2 7 49
2 7 50
2 7 51
2 7 52
2 7 53
2 7 54
2 7 55
2 7 56
2 7 57
2 7 58
2 7 59
2 7 60
2 7 61
2 7 62
2 7 63
2 7 64
2 7 65
2 7 66
2 7 67
2 7 68
2 7 69
2 7 70
2 8 9
2 8 10
2 8 11
2 8 12
2 8 13
2 8 14
2 8 15
2 8 16
2 8 17
2 8 18
2 8 19
2 8 20
2 8 21
2 8 22
2 8 23
2 8 24
2 8 25
2 8 26
2 8 27
2 8 28
2 8 29
2 8 30
2 8 31
2 8 32
2 8 33
2 8 34
2 8 35
2 8 36
2 8 37
2 8 38
2 8 39
2 8 40
2 8 41
2 8 42
2 8 43
2 8 44
2 8 45
2 8 46
2 8 47
2 8 48
2 8 49
2 8 50
2 8 51
2 8 52
2 8 53
2 8 54
2 8 55
2 8 56
2 8 57
2 8 58
2 8 59
2 8 60
2 8 61
2 8 62
2 8 63
2 8 64
2 8 65
2 8 66
2 8 67
2 8 68
2 8 69
2 8 70
2 9 10
2 9 11
2 9 12
2 9 13
2 9 14
2 9 15
2 9 16
2 9 17
2 9 18
2 9 19
2 9 20
2 9 21
2 9 22
2 9 23
2 9 24
2 9 25
2 9 26
2 9 27
2 9 28
2 9 29
2 9 30
2 9 31
2 9 32
2 9 33
2 9 34
2 9 35
2 9 36
2 9 37
2 9 38
2 9 39
2 9 40
2 9 41
2 9 42
2 9 43
2 9 44
2 9 45
2 9 46
2 9 47
2 9 48
2 9 49
2 9 50
2 9 51
2 9 52
2 9 53
2 9 54
2 9 55
2 9 56
2 9 57
2 9 58
2 9 59
2 9 60
2 9 61
2 9 62
2 9 63
2 9 64
2 9 65
2 9 66
2 9 67
2 9 68
2 9 69
2 9 70
2 10 11
2 10 12
2 10 13
2 10 14
2 10 15
2 10 16
2 10 17
2 10 18
2 10 19
2 10 20
2 10 21
2 10 22
2 10 23
2 10 24
2 10 25
2 10 26
2 10 27
2 10 28
2 10 29
2 10 30
2 10 31
2 10 32
2 10 33
2 10 34
2 10 35
2 10 36
2 10 37
2 10 38
2 10 39
2 10 40
2 10 41
2 10 42
2 10 43
2 10 44
2 10 45
2 10 46
2 10 47
2 10 48
2 10 49
2 10 50
2 10 51
2 10 52
2 10 53
2 10 54
2 10 55
2 10 56
2 10 57
2 10 58
2 10 59
2 10 60
2 10 61
2 10 62
2 10 63
2 10 64
2 10 65
2 10 66
2 10 67
2 10 68
2 10 69
2 10 70
2 11 12
2 11 13
2 11 14
2 11 15
2 11 16
2 11 17
2 11 18
